1,/opt/miniexample/src/mini.cpp,134,135,1,2d_
2,/opt/miniexample/src/mini.cpp,134,135,1,2b_
3,/opt/miniexample/src/mini.cpp,134,135,1,2f_
4,/opt/miniexample/src/mini.cpp,134,135,1,25_
5,/opt/miniexample/src/mini.cpp,133,136,1,33_
6,/opt/miniexample/src/mini.cpp,133,136,1,62_
7,/opt/miniexample/src/mini.cpp,201,202,1,2d_
8,/opt/miniexample/src/mini.cpp,201,202,1,2b_
9,/opt/miniexample/src/mini.cpp,201,202,1,2f_
10,/opt/miniexample/src/mini.cpp,201,202,1,25_
11,/opt/miniexample/src/mini.cpp,200,203,1,32_
12,/opt/miniexample/src/mini.cpp,200,203,1,62_
